last name,first name,position,team,year,average salary
Bazemore,Kent,Small Forward,ATL,2017,17500000
Schröder,Dennis,Point Guard,ATL,2017,17500000
Plumlee,Miles,Center,ATL,2017,12500000
Dedmon,Dewayne,Center,ATL,2017,7050000
Belinelli,Marco,Small Forward,ATL,2017,6333333
Ilyasova,Ersan,Small Forward,ATL,2017,6000000
Muscala,Mike,Power Forward,ATL,2017,5000000
Delaney,Malcom,Shooting Guard,ATL,2017,2500000
Prince,Taurean,Small Forward,ATL,2017,2370420
Collins,John,Power Forward,ATL,2017,2118000
Babbitt,Luke,Small Forward,ATL,2017,1974159
Evans,Jeremy,Small Forward,ATL,2017,1841849
Jenkins,John,Shooting Guard,ATL,2017,1577230
Bembry,DeAndre',Shooting Guard,ATL,2017,1533480
Cook,Quinn,Point Guard,ATL,2017,1428781
Dorsey,Tyler,Point Guard,ATL,2017,1096929
Brussino,Nicolas,Point Guard,ATL,2017,832994
Cavanaugh,Tyler,Power Forward,ATL,2017,815615
Mathews,Jordan,Shooting Guard,ATL,2017,815615
Hayward,Gordon,Small Forward,BOS,2017,31957493
Horford,Al,Center,BOS,2017,28331557
Irving,Kyrie,Point Guard,BOS,2017,18868625
Tatum,Jayson,Small Forward,BOS,2017,6173100
Morris,Marcus,Power Forward,BOS,2017,5000000
Brown,Jaylen,Small Forward,BOS,2017,4849740
Baynes,Aron,Power Forward,BOS,2017,4328000
Smart,Marcus,Point Guard,BOS,2017,3707815
Yabusele,Guerschon,Power Forward,BOS,2017,2457540
Rozier,Terry,Point Guard,BOS,2017,1906440
Larkin,Shane,Point Guard,BOS,2017,1524305
Ojeleye,Semi,Small Forward,BOS,2017,1510401
Nader,Abdel,Small Forward,BOS,2017,1388032
Theis,Daniel,Center,BOS,2017,1096929
Dixon,Daniel,Guard,BOS,2017,815615
Peak,L.J.,Shooting Guard,BOS,2017,815615
White,Andrew,Guard,BOS,2017,815615
Crabbe,Allen,Small Forward,BKN,2017,18708125
Mozgov,Timofey,Center,BKN,2017,16000000
Carroll,DeMarre,Small Forward,BKN,2017,14500000
Lin,Jeremy,Point Guard,BKN,2017,12766667
Booker,Trevor,Power Forward,BKN,2017,9187500
Russell,D'Angelo,Point Guard,BKN,2017,5332760
Zeller,Tyler,Center,BKN,2017,1821740
Acy,Quincy,Small Forward,BKN,2017,1749815
LeVert,Caris,Shooting Guard,BKN,2017,1597380
Hollis-Jefferson,Rondae,Small Forward,BKN,2017,1395600
Whitehead,Isaiah,Point Guard,BKN,2017,1146474
Harris,Joe,Shooting Guard,BKN,2017,1015838
Dinwiddie,Spencer,Point Guard,BKN,2017,967911
Doyle,Milton,Guard,BKN,2017,815615
Mitchell,Akil,Power Forward,BKN,2017,815615
Senglin,Jeremy,Point Guard,BKN,2017,815615
Kilpatrick,Sean,Shooting Guard,BKN,2017,750951
Batum,Nicolas,Shooting Guard,CHA,2017,24000000
Howard,Dwight,Center,CHA,2017,23500000
Zeller,Cody,Power Forward,CHA,2017,14000000
Williams,Marvin,Power Forward,CHA,2017,13628125
Kidd-Gilchrist,Michael,Small Forward,CHA,2017,13000000
Walker,Kemba,Point Guard,CHA,2017,12000000
Lamb,Jeremy,Shooting Guard,CHA,2017,7000000
Monk,Malik,Shooting Guard,CHA,2017,3175980
Kaminsky,Frank,Center,CHA,2017,2730040
Carter-Williams,Michael,Point Guard,CHA,2017,2700000
Bacon,Dwayne,Small Forward,CHA,2017,1270792
O'Bryant,Johnny,Center,CHA,2017,842894
Henderson,Terry,Shooting Guard,CHA,2017,815615
Hicks,Isaiah,Power Forward,CHA,2017,815615
Petrasek,Luke,Forward,CHA,2017,815615
Williams,T.J.,Point Guard,CHA,2017,815615
Stone,Julyan,Point Guard,CHA,2017,762153
Graham,Treveon,Shooting Guard,CHA,2017,543471
Lopez,Robin,Center,CHI,2017,13503875
Mirotic,Nikola,Power Forward,CHI,2017,13500000
Felicio,Cristiano,Power Forward,CHI,2017,8000000
Holiday,Justin,Shooting Guard,CHI,2017,4500000
Markkanen,Laui,Power Forward,CHI,2017,4178880
Dunn,Kris,Point Guard,CHI,2017,3959640
Pondexter,Quincy,Small Forward,CHI,2017,3500000
LaVine,Zach,Shooting Guard,CHI,2017,2411825
Valentine,Denzel,Shooting Guard,CHI,2017,2139300
Payne,Cameron,Point Guard,CHI,2017,2112480
Grant,Jerian,Point Guard,CHI,2017,1643080
Eddie,Jarell,Small Forward,CHI,2017,1524305
Portis,Bobby,Power Forward,CHI,2017,1453720
Stone,Diamond,Center,CHI,2017,1428781
Zipser,Paul,Small Forward,CHI,2017,957908
Johnson,Jaylen,Power Forward,CHI,2017,815615
Koenig,Bronson,Point Guard,CHI,2017,815615
Nwaba,David,Shooting Guard,CHI,2017,693070
Butler,Jimmy,Shooting Guard,CHI,2017,604152
James,LeBron,Small Forward,CLE,2017,33285709
Love,Kevin,Power Forward,CLE,2017,22642350
Thompson,Tristan,Center,CLE,2017,16400000
Smith,J.R.,Shooting Guard,CLE,2017,14250000
Shumpert,Iman,Shooting Guard,CLE,2017,10000000
Frye,Channing,Power Forward,CLE,2017,8000000
Korver,Kyle,Shooting Guard,CLE,2017,7353333
Crowder,Jae,Small Forward,CLE,2017,7000000
Thomas,Isaiah,Point Guard,CLE,2017,6750001
Osman,Cedi,Small Forward,CLE,2017,2772355
Jefferson,Richard,Small Forward,CLE,2017,2537500
Calderon,Jose,Point Guard,CLE,2017,2328652
Green,Jeff,Small Forward,CLE,2017,2328652
Perkins,Kendrick,Center,CLE,2017,2328652
Wade,Dwyane,Shooting Guard,CLE,2017,2328652
Rose,Derrick,Point Guard,CLE,2017,2106470
Zizic,Ante,Center,CLE,2017,1798980
Tavares,Walter,Center,CLE,2017,1025682
Felder,Kay,Point Guard,CLE,2017,832994
Barnes,Harrison,Small Forward,DAL,2017,23609631
Matthews,Wesley,Shooting Guard,DAL,2017,17515007
Powell,Dwight,Power Forward,DAL,2017,9317188
McRoberts,Josh,Power Forward,DAL,2017,5663088
Nowitzki,Dirk,Power Forward,DAL,2017,5000000
Noel,Nerlens,Center,DAL,2017,4187598
Harris,Devin,Point Guard,DAL,2017,4140721
Barea,Jose,Point Guard,DAL,2017,4000425
SmithJr.,Dennis,Point Guard,DAL,2017,3519120
Curry,Seth,Shooting Guard,DAL,2017,2963205
Withey,Jeff,Center,DAL,2017,1686123
Wayns,Maalik,Point Guard,DAL,2017,1471382
Finney-Smith,Dorian,Small Forward,DAL,2017,832994
Clavell,Gian,Shooting Guard,DAL,2017,815615
Kleber,Maxi,Forward,DAL,2017,815615
Mejri,Salah,Center,DAL,2017,804825
Ferrell,Yogi,Point Guard,DAL,2017,207798
Millsap,Paul,Power Forward,DEN,2017,30500000
Plumlee,Mason,Center,DEN,2017,13666667
Faried,Kenneth,Power Forward,DEN,2017,12500000
Chandler,Wilson,Small Forward,DEN,2017,11625000
Arthur,Darrell,Power Forward,DEN,2017,7666667
Nelson,Jameer,Point Guard,DEN,2017,4540525
Barton,Will,Shooting Guard,DEN,2017,3533333
