last name,first name,position,team,year,average salary
Howard,Dwight,C,ATL,2016,23500000
Millsap,Paul,PF,ATL,2016,20072033
Bazemore,Kent,SF,ATL,2016,17500000
Ilyasova,Ersan,SF,ATL,2016,8000000
Splitter,Tiago,PF,ATL,2016,5872059
Dunleavy,Mike,SF,ATL,2016,4837500
Humphries,Kris,PF,ATL,2016,4000000
Sefolosha,Thabo,SF,ATL,2016,4000000
Splitter,Tiago,PF,ATL,2016,3000000
Delaney,Malcom,SG,ATL,2016,2500000
Scott,Mike,PF,ATL,2016,2372549
Prince,Taurean,SF,ATL,2016,2370420
Korver,Kyle,SG,ATL,2016,2311516
Schröder,Dennis,PG,ATL,2016,1877716
Bembry,DeAndre',SG,ATL,2016,1533480
HardawayJr.,Tim,SG,ATL,2016,1508381
Teague,Jeff,PG,ATL,2016,800000
Muscala,Mike,PF,ATL,2016,735231
Calderon,Jose,PG,ATL,2016,392478
Kelly,Ryan,PF,ATL,2016,286785
Williams,Mo,PG,ATL,2016,141997
Neal,Gary,PG,ATL,2016,7219
Patterson,Lamar,SG,ATL,2016,5145
Patterson,Lamar,SG,ATL,2016,5145
Horford,Al,C,BOS,2016,28331557
Johnson,Amir,PF,BOS,2016,12000000
Bradley,Avery,SG,BOS,2016,8000000
Zeller,Tyler,C,BOS,2016,8000000
Crowder,Jae,SF,BOS,2016,7000000
Thomas,Isaiah,PG,BOS,2016,6750001
Jerebko,Jonas,PF,BOS,2016,5000000
Brown,Jaylen,SF,BOS,2016,4849740
Smart,Marcus,PG,BOS,2016,3707815
Olynyk,Kelly,C,BOS,2016,2330324
Rozier,Terry,PG,BOS,2016,1906440
Young,James,SG,BOS,2016,1749840
Green,Gerald,SG,BOS,2016,1410598
Jackson,Demetrius,PG,BOS,2016,1368438
Mickey,Jordan,PF,BOS,2016,1223653
Batum,Nicolas,SG,CHA,2016,24000000
Williams,Marvin,PF,CHA,2016,13628125
Kidd-Gilchrist,Michael,SF,CHA,2016,13000000
Plumlee,Miles,C,CHA,2016,12500000
Walker,Kemba,PG,CHA,2016,12000000
Lamb,Jeremy,SG,CHA,2016,7000000
Belinelli,Marco,SF,CHA,2016,6333333
Sessions,Ramon,PG,CHA,2016,6000000
Zeller,Cody,PF,CHA,2016,4352528
Hibbert,Roy,C,CHA,2016,2941176
Kaminsky,Frank,C,CHA,2016,2730040
Hawes,Spencer,PF,CHA,2016,2244951
Roberts,Brian,PG,CHA,2016,1050961
Wood,Christian,PF,CHA,2016,944691
O'Bryant,Johnny,C,CHA,2016,842894
Weber,Briante,SG,CHA,2016,800003
Hawes,Spencer,PF,CHA,2016,566309
Graham,Treveon,SG,CHA,2016,543471
McCallum,Ray,PG,CHA,2016,59747
McCallum,Ray,PG,CHA,2016,5975
O'Bryant,Johnny,C,CHA,2016,5767
O'Bryant,Johnny,C,CHA,2016,5767
Weber,Briante,SG,CHA,2016,5145
Weber,Briante,SG,CHA,2016,5145
Tobey,Mike,C,CHA,2016,3197
Tobey,Mike,C,CHA,2016,3197
Wade,Dwyane,SG,CHI,2016,23500000
Butler,Jimmy,SG,CHI,2016,18467976
Rondo,Rajon,PG,CHI,2016,13698500
Lopez,Robin,C,CHI,2016,13503875
Gibson,Taj,PF,CHI,2016,6370294
Mirotic,Nikola,PF,CHI,2016,5543725
Morrow,Anthony,SG,CHI,2016,3344000
Carter-Williams,Michael,PG,CHI,2016,2520882
Valentine,Denzel,SG,CHI,2016,2139300
Payne,Cameron,PG,CHI,2016,2112480
McDermott,Doug,SF,CHI,2016,1767340
Lauvergne,Joffrey,PF,CHI,2016,1736573
Grant,Jerian,PG,CHI,2016,1643080
Portis,Bobby,PF,CHI,2016,1453720
Canaan,Isaiah,PG,CHI,2016,1051721
Zipser,Paul,SF,CHI,2016,957908
Felicio,Cristiano,PF,CHI,2016,699865
James,LeBron,SF,CLE,2016,33285709
Love,Kevin,PF,CLE,2016,22642350
Irving,Kyrie,PG,CLE,2016,18868625
Thompson,Tristan,C,CLE,2016,16400000
Smith,J.R.,SG,CLE,2016,14250000
Shumpert,Iman,SG,CLE,2016,10000000
Frye,Channing,PF,CLE,2016,8000000
Korver,Kyle,SG,CLE,2016,6000000
Jefferson,Richard,SF,CLE,2016,2537500
Dunleavy,Mike,SF,CLE,2016,2134191
Jones,James,SG,CLE,2016,1551659
Tavares,Walter,C,CLE,2016,1025682
Andersen,Chris,PF,CLE,2016,1013142
Williams,Mo,PG,CLE,2016,955253
Felder,Kay,PG,CLE,2016,832994
Williams,Deron,PG,CLE,2016,410733
Williams,Derrick,PF,CLE,2016,268029
Jones,Dahntay,SF,CLE,2016,9127
Williams,Derrick,PF,CLE,2016,6701
Williams,Derrick,PF,CLE,2016,6701
Nowitzki,Dirk,PF,DAL,2016,25000000
Barnes,Harrison,SF,DAL,2016,23609631
Matthews,Wesley,SG,DAL,2016,17515007
Powell,Dwight,PF,DAL,2016,9317188
Bogut,Andrew,C,DAL,2016,7848649
Harris,Devin,PG,DAL,2016,4140721
Barea,Jose,PG,DAL,2016,4000425
Noel,Nerlens,C,DAL,2016,3582433
Curry,Seth,SG,DAL,2016,2963205
Liggins,DeAndre,SG,DAL,2016,1296463
Anderson,Justin,SG,DAL,2016,1077726
Hammons,A.J.,C,DAL,2016,868504
Brussino,Nicolas,PG,DAL,2016,832994
Finney-Smith,Dorian,SF,DAL,2016,832994
Mejri,Salah,C,DAL,2016,804825
Uthoff,Jarrod,PF,DAL,2016,680282
Ferrell,Yogi,PG,DAL,2016,207798
Harris,Manny,SG,DAL,2016,5767
Harris,Manny,SG,DAL,2016,5767
Bentil,Ben,PF,DAL,2016,3197
Cook,Quinn,PG,DAL,2016,3197
Ferrell,Yogi,PG,DAL,2016,3197
Jackson,Pierre,PG,DAL,2016,3197
Jackson,Pierre,PG,DAL,2016,3197
Uthoff,Jarrod,PF,DAL,2016,3197
Uthoff,Jarrod,PF,DAL,2016,3197
Gallinari,Danilo,SF,DEN,2016,15050000
Faried,Kenneth,PF,DEN,2016,12500000
Chandler,Wilson,SF,DEN,2016,11625000
Arthur,Darrell,PF,DEN,2016,7666667
Hibbert,Roy,C,DEN,2016,5000000
Nelson,Jameer,PG,DEN,2016,4540525
Barton,Will,SG,DEN,2016,3533333
Miller,Mike,SG,DEN,2016,3500000
Murray,Jamal,PG,DEN,2016,3355320
Mudiay,Emmanuel,PG,DEN,2016,3241840
Hernangomez,Juan,PF,DEN,2016,2076880
Beasley,Malik,SG,DEN,2016,1958379
Harris,Gary,SG,DEN,2016,1828154
Plumlee,Mason,C,DEN,2016,1599943
Jokic,Nikola,C,DEN,2016,1358500
Nurkic,Jusuf,C,DEN,2016,1243207
Hibbert,Roy,C,DEN,2016,695224
Gee,Alonzo,SF,DEN,2016,77379
Williams,Mo,PG,DEN,2016,38726
Williams,Mo,PG,DEN,2016,25818
O'Bryant,Johnny,C,DEN,2016,5767
O'Bryant,Johnny,C,DEN,2016,5767
Drummond,Andre,C,DET,2016,25434263
Harris,Tobias,PF,DET,2016,16000000
Jackson,Reggie,PG,DET,2016,16000000
Leuer,Jon,PF,DET,2016,10500000
Marjanovic,Boban,C,DET,2016,7000000
Baynes,Aron,PF,DET,2016,6500000
Smith,Ishmael,PG,DET,2016,6000000
Morris,Marcus,PF,DET,2016,5000000
Caldwell-Pope,Kentavious,SG,DET,2016,2998910
Johnson,Stanley,SF,DET,2016,2969880
Ellenson,Henry,PF,DET,2016,1742460
Udrih,Beno,PG,DET,2016,1551659
Bullock,Reggie,SF,DET,2016,1464451
Gbinije,Michael,SG,DET,2016,832994
HilliardII,Darrun,SF,DET,2016,829794
Durant,Kevin,SF,GSW,2016,27137253
Thompson,Klay,SG,GSW,2016,17244863
Green,Draymond,PF,GSW,2016,16400000
Iguodala,Andre,SG,GSW,2016,12000000
Curry,Stephen,PG,GSW,2016,11000000
Livingston,Shaun,PG,GSW,2016,5543725
Pachulia,Zaza,C,GSW,2016,2898000
West,David,PF,GSW,2016,1551659
McGee,JaVale,C,GSW,2016,1403611
Jones,Damian,C,GSW,2016,1242086
Looney,Kevon,SF,GSW,2016,1182880
Clark,Ian,SG,GSW,2016,1015696
McAdoo,James,SF,GSW,2016,980431
