Rk,Player,Tm,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed,Average Salary
1,Stephen Curry\curryst01,GSW,"$34,682,550 ","$37,457,154 ","$40,231,758 ","$43,006,362 ","$45,780,966 ",,Bird Rights,"$201,158,790 ",40231758
2,LeBron James\jamesle01,CLE,"$33,285,709 ","$35,607,968 ",,,,,Early Bird,"$33,285,709 ",34446839
3,Paul Millsap\millspa01,DEN,"$31,269,231 ","$29,730,769 ","$30,500,000 ",,,,Cap space,"$61,000,000 ",30500000
4,Gordon Hayward\haywago01,BOS,"$29,727,900 ","$31,214,295 ","$32,700,690 ","$34,187,085 ",,,Cap space,"$93,642,885 ",31957493
5,Blake Griffin\griffbl01,LAC,"$29,512,900 ","$31,873,932 ","$34,234,964 ","$36,595,996 ","$38,957,028 ",,Bird Rights,"$132,217,792 ",34234964
6,Kyle Lowry\lowryky01,TOR,"$28,703,704 ","$31,000,000 ","$33,296,296 ",,,,Bird Rights,"$93,000,000 ",31000000
7,Russell Westbrook\westbru01,OKC,"$28,530,608 ","$35,350,000 ","$38,178,000 ","$41,006,000 ","$43,848,000 ",,Bird Rights,"$186,912,608 ",37382522
8,Mike Conley\conlemi01,MEM,"$28,530,608 ","$30,521,115 ","$32,511,623 ","$34,504,132 ",,,Cap Space,"$113,989,729 ",31516870
9,James Harden\hardeja01,HOU,"$28,299,399 ","$30,431,854 ","$37,800,000 ","$40,824,000 ","$43,848,000 ",,Bird Rights,"$181,203,253 ",36240651
10,DeMar DeRozan\derozde01,TOR,"$27,739,975 ","$27,739,975 ","$27,739,975 ","$27,739,975 ",,,Cap Space,"$83,219,925 ",27739975
11,Al Horford\horfoal01,BOS,"$27,734,405 ","$28,928,710 ","$30,123,015 ",,,,Cap Space,"$56,663,115 ",28928710
12,Carmelo Anthony\anthoca01,OKC,"$26,243,760 ","$27,928,140 ",,,,,Bird Rights,"$26,243,760 ",27085950
14,Jrue Holiday\holidjr01,NOP,"$25,686,667 ","$26,131,111 ","$26,131,111 ","$26,131,111 ","$27,020,000 ",,Bird Rights,"$104,080,000 ",26220000
15,Chris Bosh\boshch01,MIA,"$25,289,390 ","$26,837,720 ",,,,,,"$52,127,110 ",26063555
16,Kevin Durant\duranke01,GSW,"$25,000,000 ","$26,250,000 ",,,,,Non-Bird Rights,"$25,000,000 ",25625000
17,Otto Porter\porteot01,WAS,"$24,773,250 ","$26,011,913 ","$27,250,576 ","$28,489,239 ",,,Bird Rights,"$78,035,739 ",26631245
18,Chris Paul\paulch01,HOU,"$24,599,495 ",,,,,,Bird Rights,"$24,599,495 ",24599495
20,Bradley Beal\bealbr01,WAS,"$23,775,506 ","$25,434,263 ","$27,093,019 ","$28,751,775 ",,,Cap Space,"$105,054,563 ",26263641
22,Andre Drummond\drumman01,DET,"$23,775,506 ","$25,434,263 ","$27,093,019 ","$28,751,775 ",,,Cap Space,"$76,302,788 ",26263641
23,Hassan Whiteside\whiteha01,MIA,"$23,775,506 ","$25,434,263 ","$27,093,018 ",,,,Cap Space,"$49,209,769 ",25434262
24,Dwight Howard\howardw01,CHO,"$23,500,000 ","$23,819,725 ",,,,,Cap Space,"$47,319,725 ",23659863
25,Chandler Parsons\parsoch01,MEM,"$23,112,004 ","$24,107,258 ","$25,102,511 ",,,,Cap Space,"$72,321,773 ",24107258
26,Harrison Barnes\barneha02,DAL,"$23,112,004 ","$24,107,258 ","$25,102,512 ",,,,Cap Space,"$47,219,262 ",24107258
27,J.J. Redick\redicjj01,PHI,"$23,000,000 ",,,,,,Cap space,"$23,000,000 ",23000000
28,Marc Gasol\gasolma01,MEM,"$22,642,350 ","$24,119,025 ","$25,595,700 ",,,,Bird Rights,"$46,761,375 ",24119025
29,Kevin Love\loveke01,CLE,"$22,642,350 ","$24,119,025 ","$25,595,700 ",,,,Bird Rights,"$46,761,375 ",24119025
30,Brook Lopez\lopezbr01,LAL,"$22,642,350 ",,,,,,Bird Rights,"$22,642,350 ",22642350
31,DeAndre Jordan\jordade01,LAC,"$22,642,350 ","$24,119,025 ",,,,,Bird Rights,"$22,642,350 ",23380688
34,Nicolas Batum\batumni01,CHO,"$22,434,783 ","$24,000,000 ","$25,565,217 ","$27,130,434 ",,,Cap Space,"$72,000,000 ",24782609
36,LaMarcus Aldridge\aldrila01,SAS,"$21,461,010 ","$22,347,015 ",,,,,Cap Space,"$21,461,010 ",21904013
38,Enes Kanter\kanteen01,NYK,"$20,566,802 ","$18,622,514 ",,,,,Bird Rights,"$20,566,802 ",19594658
39,Danilo Gallinari\gallida01,LAC,"$20,559,599 ","$21,587,579 ","$22,615,559 ",,,,Sign and Trade,"$64,762,737 ",21587579
40,Serge Ibaka\ibakase01,TOR,"$20,061,729 ","$21,666,667 ","$23,271,604 ",,,,Cap space,"$65,000,000 ",21666667
41,George Hill\hillge01,SAC,"$20,000,000 ","$19,000,000 ","$18,000,000 ",,,,Cap space,"$40,000,000 ",19000000
42,Ryan Anderson\anderry01,HOU,"$19,578,455 ","$20,421,546 ","$21,264,635 ",,,,Cap Space,"$61,264,636 ",20421545
44,Allen Crabbe\crabbal01,BRK,"$19,332,500 ","$18,500,000 ","$18,500,000 ",,,,Cap Space,"$37,832,500 ",18777500
45,Jimmy Butler\butleji01,MIN,"$19,301,070 ","$20,445,779 ","$19,841,627 ",,,,Bird Rights,"$39,746,849 ",19862825
46,Jeff Teague\teaguje01,MIN,"$19,000,000 ","$19,000,000 ","$19,000,000 ",,,,Cap space,"$38,000,000 ",19000000
47,Kawhi Leonard\leonaka01,SAS,"$18,868,625 ","$20,099,189 ","$21,329,752 ",,,,Bird Rights,"$38,967,814 ",20099189
48,Kyrie Irving\irvinky01,BOS,"$18,868,625 ","$20,099,188 ","$21,329,750 ",,,,Bird Rights,"$38,967,813 ",20099188
49,John Wall\walljo01,WAS,"$18,063,850 ","$19,169,800 ","$37,800,000 ","$40,824,000 ","$43,848,000 ",,Bird Rights,"$159,705,650 ",31941130
51,Greg Monroe\monrogr01,MIL,"$17,884,176 ",,,,,,Cap Space,"$17,884,176 ",17884176
52,Wesley Matthews\matthwe02,DAL,"$17,884,176 ","$18,622,514 ",,,,,Cap Space,"$17,884,176 ",18253345
54,Joakim Noah\noahjo01,NYK,"$17,765,000 ","$18,530,000 ","$19,295,000 ",,,,Cap Space,"$55,590,000 ",18530000
55,Kentavious Caldwell-Pope\caldwke01,LAL,"$17,745,894 ",,,,,,Cap space,"$17,745,894 ",17745894
56,Luol Deng\denglu01,LAL,"$17,190,000 ","$18,000,000 ","$18,810,000 ",,,,Cap Space,"$54,000,000 ",18000000
57,Evan Turner\turneev01,POR,"$17,131,148 ","$17,868,852 ","$18,606,557 ",,,,Cap Space,"$53,606,557 ",17868852
58,Goran Dragic\dragigo01,MIA,"$17,000,450 ","$18,109,175 ","$19,217,900 ",,,,Bird Rights,"$35,109,625 ",18109175
59,Evan Fournier\fournev01,ORL,"$17,000,000 ","$17,000,000 ","$17,000,000 ","$17,000,000 ",,,Cap Space,"$51,000,000 ",17000000
60,Bismack Biyombo\biyombi01,ORL,"$17,000,000 ","$17,000,000 ","$17,000,000 ",,,,Cap Space,"$34,000,000 ",17000000
61,Kent Bazemore\bazemke01,ATL,"$16,910,113 ","$18,089,887 ","$19,269,662 ",,,,Cap Space,"$35,000,000 ",18089887
62,Ian Mahinmi\mahinia01,WAS,"$16,661,641 ","$15,944,154 ","$15,450,051 ",,,,Cap Space,"$48,055,846 ",16018615
63,Tim Hardaway\hardati02,NYK,"$16,500,000 ","$17,325,000 ","$18,150,000 ","$18,975,000 ",,,Cap space,"$51,975,000 ",17737500
64,Draymond Green\greendr01,GSW,"$16,400,000 ","$17,469,565 ","$18,539,130 ",,,,Bird Rights,"$52,408,695 ",17469565
65,Tristan Thompson\thomptr01,CLE,"$16,400,000 ","$17,469,565 ","$18,539,130 ",,,,Bird Rights,"$52,408,695 ",17469565
66,Reggie Jackson\jacksre01,DET,"$16,000,000 ","$17,043,478 ","$18,086,956 ",,,,Bird Rights,"$51,130,434 ",17043478
67,Pau Gasol\gasolpa01,SAS,"$16,000,000 ","$16,000,000 ","$16,000,000 ",,,,,"$38,700,000 ",16000000
68,Tobias Harris\harrito02,DET,"$16,000,000 ","$14,800,000 ",,,,,Bird Rights,"$30,800,000 ",15400000
70,Dwyane Wade\wadedw01,CHI,"$15,500,000 ",,,,,,,"$15,500,000 ",15500000
72,Tony Parker\parketo01,SAS,"$15,453,126 ",,,,,,Bird Rights,"$15,453,126 ",15453126
73,Timofey Mozgov\mozgoti01,BRK,"$15,280,000 ","$16,000,000 ","$16,720,000 ",,,,Cap Space,"$48,000,000 ",16000000
74,Andre Iguodala\iguodan01,GSW,"$14,814,815 ","$16,000,000 ","$17,185,185 ",,,,Bird Rights,"$48,000,000 ",16000000
75,DeMarre Carroll\carrode01,BRK,"$14,800,000 ","$15,400,000 ",,,,,Cap Space,"$30,200,000 ",15100000
76,Thaddeus Young\youngth01,IND,"$14,796,348 ","$13,764,045 ",,,,,Bird Rights,"$14,796,348 ",14280197
77,Eric Bledsoe\bledser01,PHO,"$14,500,000 ","$15,000,000 ",,,,,Bird Rights,"$29,500,000 ",14750000
79,Joe Ingles\inglejo01,UTA,"$14,136,364 ","$13,045,455 ","$11,954,546 ","$10,863,637 ",,,Bird Rights,"$50,000,002 ",12500001
81,Khris Middleton\middlkh01,MIL,"$14,100,000 ","$13,000,000 ","$13,000,000 ",,,,Bird Rights,"$27,100,000 ",13366667
82,Taj Gibson\gibsota01,MIN,"$14,000,000 ","$14,000,000 ",,,,,Cap space,"$28,000,000 ",14000000
83,James Johnson\johnsja01,MIA,"$13,954,000 ","$14,651,700 ","$15,349,400 ",,,,Cap space,"$43,955,100 ",14651700
84,Robin Lopez\lopezro01,CHI,"$13,788,500 ","$14,357,750 ",,,,,Cap Space,"$28,146,250 ",14073125
85,J.R. Smith\smithjr01,CLE,"$13,760,000 ","$14,720,000 ","$15,680,000 ",,,,Bird Rights,"$32,350,000 ",14720000
86,Brandon Knight\knighbr03,PHO,"$13,618,750 ","$14,631,250 ","$15,643,750 ",,,,,"$43,893,750 ",14631250
87,Marvin Williams\willima02,CHO,"$13,168,750 ","$14,087,500 ","$15,006,250 ",,,,Cap Space,"$27,256,250 ",14087500
88,Tyson Chandler\chandty01,PHO,"$13,000,000 ","$13,585,000 ",,,,,Cap Space,"$26,585,000 ",13292500
90,Eric Gordon\gordoer01,HOU,"$12,943,020 ","$13,500,375 ","$14,057,730 ",,,,Cap Space,"$40,501,125 ",13500375
92,Marcin Gortat\gortama01,WAS,"$12,782,609 ","$13,565,218 ",,,,,Bird Rights,"$26,347,827 ",13173914
94,Miles Plumlee\plumlmi01,ATL,"$12,500,000 ","$12,500,000 ","$12,500,000 ",,,,Bird Rights,"$37,500,000 ",12500000
95,Nikola Mirotic\mirotni01,CHI,"$12,500,000 ","$12,500,000 ",,,,,Cap space,"$12,500,000 ",12500000
96,Zach Randolph\randoza01,SAC,"$12,307,692 ","$11,692,308 ",,,,,Cap space,"$24,000,000 ",12000000
97,Nikola Vucevic\vucevni01,ORL,"$12,250,000 ","$12,750,000 ",,,,,Bird Rights,"$25,000,000 ",12500000
98,Solomon Hill\hillso01,NOP,"$12,236,535 ","$12,752,928 ","$13,258,781 ",,,,Cap Space,"$38,248,244 ",12749415
99,Wilson Chandler\chandwi01,DEN,"$12,016,854 ","$12,800,562 ",,,,,,"$12,016,854 ",12408708
102,Jeremy Lin\linje01,BRK,"$12,000,000 ","$12,516,746 ",,,,,Cap Space,"$12,000,000 ",12258373
103,Austin Rivers\riverau01,LAC,"$11,825,000 ","$12,650,000 ",,,,,Cap Space,"$11,825,000 ",12237500
104,Courtney Lee\leeco01,NYK,"$11,747,890 ","$12,253,780 ","$12,759,670 ",,,,Cap Space,"$36,761,340 ",12253780
105,Nikola Pekovic\pekovni01,MIN,"$11,600,000 ",,,,,,,"$11,600,000 ",11600000
106,Jordan Clarkson\clarkjo01,LAL,"$11,562,500 ","$12,500,000 ","$13,437,500 ",,,,Cap Space,"$37,500,000 ",12500000
108,Dion Waiters\waitedi01,MIA,"$11,000,000 ","$11,550,000 ","$12,100,000 ","$12,650,000 ",,,Cap space,"$47,300,000 ",11825000
109,Amir Johnson\johnsam01,PHI,"$11,000,000 ",,,,,,Cap space,"$11,000,000 ",11000000
110,Jamal Crawford\crawfja01,ATL,"$10,942,762 ","$2,304,226 ",,,,,,"$13,246,988 ",6623494
112,Patty Mills\millspa02,SAS,"$10,714,286 ","$11,571,429 ","$12,428,571 ","$13,285,714 ",,,Bird Rights,"$48,000,000 ",12000000
113,Kelly Olynyk\olynyke01,MIA,"$10,607,169 ","$11,137,527 ","$11,667,885 ","$12,198,243 ",,,Cap space,"$33,412,581 ",11402706
114,Omer Asik\asikom01,NOP,"$10,595,505 ","$11,286,516 ","$11,977,527 ",,,,Bird Rights,"$24,882,021 ",11286516
115,Joe Johnson\johnsjo02,UTA,"$10,505,000 ",,,,,,Cap Space,"$10,505,000 ",10505000
117,Mirza Teletovic\teletmi01,MIL,"$10,500,000 ","$10,500,000 ",,,,,Cap Space,"$21,000,000 ",10500000
118,Bojan Bogdanovic\bogdabo02,IND,"$10,500,000 ","$10,500,000 ",,,,,Cap space,"$12,000,000 ",10500000
119,Jon Leuer\leuerjo01,DET,"$10,497,319 ","$10,002,681 ","$9,508,043 ",,,,Cap Space,"$30,008,043 ",10002681
120,Iman Shumpert\shumpim01,CLE,"$10,337,079 ","$11,011,234 ",,,,,Bird Rights,"$10,337,079 ",10674157
121,Maurice Harkless\harklma01,POR,"$10,162,922 ","$10,837,079 ","$11,511,234 ",,,,Cap Space,"$32,511,235 ",10837078
122,Jared Dudley\dudleja01,PHO,"$10,000,000 ","$9,530,000 ",,,,,Cap Space,"$19,530,000 ",9765000
123,Darren Collison\collida01,IND,"$10,000,000 ","$10,000,000 ",,,,,Cap space,"$12,000,000 ",10000000
124,Danny Green\greenda02,SAS,"$10,000,000 ","$10,000,000 ",,,,,Bird Rights,"$10,000,000 ",10000000
125,Meyers Leonard\leoname01,POR,"$9,904,495 ","$10,595,506 ","$11,286,515 ",,,,Cap Space,"$31,786,516 ",10595505
126,Tony Snell\snellto01,MIL,"$9,821,429 ","$10,607,143 ","$11,392,857 ","$12,178,571 ",,,Cap space,"$31,821,429 ",11000000
127,Al Jefferson\jeffeal01,IND,"$9,769,821 ","$10,000,000 ",,,,,Cap Space,"$13,769,821 ",9884911
128,Matthew Dellavedova\dellama01,MIL,"$9,607,500 ","$9,607,500 ","$9,607,500 ",,,,Cap Space,"$28,822,500 ",9607500
129,Bogdan Bogdanovic\bogdabo01,SAC,"$9,470,614 ","$9,000,000 ","$8,529,386 ",,,,Cap space,"$27,000,000 ",9000000
130,Andre Roberson\roberan03,OKC,"$9,259,259 ","$10,000,000 ","$10,740,741 ",,,,Bird Rights,"$30,000,000 ",10000000
131,Trevor Booker\booketr01,BRK,"$9,125,000 ",,,,,,Cap Space,"$9,125,000 ",9125000
132,Dwight Powell\poweldw01,DAL,"$9,003,125 ","$9,631,250 ","$10,259,375 ",,,,Cap Space,"$18,634,375 ",9631250
133,Jerryd Bayless\bayleje01,PHI,"$9,000,000 ","$8,575,916 ",,,,,Cap Space,"$17,575,916 ",8787958
134,Avery Bradley\bradlav01,DET,"$8,808,989 ",,,,,,Bird Rights,"$8,808,989 ",8808989
135,JaMychal Green\greenja01,MEM,"$8,533,333 ","$7,866,667 ",,,,,Bird Rights,"$16,400,000 ",8200000
136,E'Twaun Moore\mooreet01,NOP,"$8,445,024 ","$8,808,685 ","$8,664,928 ",,,,Cap Space,"$25,918,637 ",8639546
137,Rudy Gay\gayru01,SAS,"$8,406,000 ","$8,826,300 ",,,,,MLE,"$8,406,000 ",8616150
138,Kosta Koufos\koufoko01,SAC,"$8,393,000 ","$8,739,500 ",,,,,Cap Space,"$8,393,000 ",8566250
139,Markieff Morris\morrima02,WAS,"$8,000,000 ","$8,600,000 ",,,,,Bird Rights,"$16,600,000 ",8300000
140,Vince Carter\cartevi01,SAC,"$8,000,000 ",,,,,,Cap space,"$8,000,000 ",8000000
141,Garrett Temple\templga01,SAC,"$8,000,000 ","$8,000,000 ",,,,,Cap Space,"$8,000,000 ",8000000
142,C.J. Miles\milescj01,TOR,"$7,936,509 ","$8,333,333 ","$8,730,158 ",,,,MLE,"$16,269,842 ",8333333
143,Cristiano Felicio\feliccr01,CHI,"$7,843,500 ","$8,470,980 ","$8,156,500 ","$7,529,020 ",,,Cap space,"$32,000,000 ",8000000
144,Shaun Livingston\livinsh01,GSW,"$7,692,308 ","$8,307,692 ","$7,692,308 ",,,,Bird Rights,"$18,000,000 ",7897436
145,Cory Joseph\josepco01,IND,"$7,630,000 ","$7,945,000 ",,,,,Cap Space,"$7,630,000 ",7787500
146,P.J. Tucker\tuckepj01,HOU,"$7,590,035 ","$7,969,537 ","$8,349,039 ","$7,969,537 ",,,MLE,"$26,477,799 ",7969537
147,Corey Brewer\breweco01,LAL,"$7,579,366 ",,,,,,Cap Space,"$7,579,366 ",7579366
149,Darrell Arthur\arthuda01,DEN,"$7,464,912 ","$7,464,912 ",,,,,Cap Space,"$7,464,912 ",7464912
150,Trevor Ariza\arizatr01,HOU,"$7,420,912 ",,,,,,Bird Rights,"$7,420,912 ",7420912
151,Channing Frye\fryech01,CLE,"$7,420,912 ",,,,,,Cap Space,"$7,420,912 ",7420912
152,Al-Farouq Aminu\aminual01,POR,"$7,319,035 ","$6,957,105 ",,,,,Cap Space,"$14,276,140 ",7138070
153,Cole Aldrich\aldrico01,MIN,"$7,300,000 ","$6,956,021 ",,,,,Cap Space,"$9,356,021 ",7128011
154,D.J. Augustin\augusdj01,ORL,"$7,250,000 ","$7,250,000 ","$7,250,000 ",,,,Cap Space,"$21,750,000 ",7250000
156,Kyle Korver\korveky01,CLE,"$7,000,000 ","$7,560,000 ","$7,500,000 ",,,,Bird Rights,"$18,000,000 ",7353333
158,Boban Marjanovic\marjabo01,DET,"$7,000,000 ","$7,000,000 ",,,,,Cap Space,"$14,000,000 ",7000000
159,Lou Williams\willilo02,LAC,"$7,000,000 ",,,,,,Cap Space,"$7,000,000 ",7000000
160,Jae Crowder\crowdja01,CLE,"$6,796,117 ","$7,305,825 ","$7,815,533 ",,,,Bird Rights,"$21,917,475 ",7305825
162,Langston Galloway\gallola01,DET,"$6,666,667 ","$7,000,000 ","$7,333,333 ",,,,MLE,"$21,000,000 ",7000000
163,Lance Thomas\thomala01,NYK,"$6,655,325 ","$7,119,650 ","$7,583,975 ",,,,Cap Space,"$13,774,975 ",7119650
164,Marco Belinelli\belinma01,ATL,"$6,606,060 ",,,,,,Cap Space,"$6,606,060 ",6606060
165,Ed Davis\davised01,POR,"$6,352,531 ",,,,,,Cap Space,"$6,352,531 ",6352531
166,Jonathon Simmons\simmojo02,ORL,"$6,300,000 ","$6,000,000 ","$5,700,000 ",,,,Cap space,"$13,300,000 ",6000000
168,Wayne Ellington\ellinwa01,MIA,"$6,270,000 ",,,,,,Cap Space,"$6,270,000 ",6270000
169,Isaiah Thomas\thomais02,CLE,"$6,261,395 ",,,,,,,"$6,261,395 ",6261395
173,Spencer Hawes\hawessp01,MIL,"$6,021,175 ",,,,,,,"$6,021,175 ",6021175
174,Josh McRoberts\mcrobjo01,DAL,"$6,021,175 ",,,,,,MLE,"$6,021,175 ",6021175
175,Ish Smith\smithis01,DET,"$6,000,000 ","$6,000,000 ",,,,,Cap Space,"$12,000,000 ",6000000
176,Alan Williams\willial03,PHO,"$6,000,000 ","$5,520,000 ","$5,520,000 ",,,,Cap space,"$6,000,000 ",5680000
177,Shelvin Mack\macksh01,ORL,"$6,000,000 ","$6,000,000 ",,,,,Cap space,"$6,000,000 ",6000000
178,Milos Teodosic\teodomi01,LAC,"$6,000,000 ","$6,300,000 ",,,,,MLE,"$6,000,000 ",6150000
179,Ersan Ilyasova\ilyaser01,ATL,"$6,000,000 ",,,,,,Cap space,"$6,000,000 ",6000000
180,Dewayne Dedmon\dedmode01,ATL,"$6,000,000 ","$6,300,000 ",,,,,Cap space,"$6,000,000 ",6150000
181,Brandan Wright\wrighbr03,MEM,"$5,955,760 ",,,,,,MLE,"$5,955,760 ",5955760
